file,print_cm,view_cm,tier_c,verdict,tier_a,tier_b,bottleneck,effective_ppi,nominal_ppi,real_detail_pct,tac_peak_pct,tac_over_280_pct,rgb_black_pct,black_floor_pct,crushed_shadows,banding_area_pct,band_step_mm,finest_line_pt,s_res,s_view,s_line,s_band,s_tac,s_clip,s_choke,s_contrast,s_alpha,s_black,dpi_tag,icc,format,seconds
Batch_01_thedarkmaters_art_20x150cm_150ppi.tif,20x150,240,3.5,Critical failure,3.5,3.3,Stroke contrast in glare,60,151,40,304,11.63,5.88,6.64,False,14.2,5.5,1.91,4.6,10,9.9,6.1,5.6,9.3,9.5,1,10,9.4,150,sRGB (embedded),TIFF Â· LZW,8.6
imgi_264_showimg_ime154_desktop_100x100cm_150ppi.tif,100x100,160,3.5,Critical failure,3.5,3.5,Stroke contrast in glare,38,151,25,303,2.34,1.03,0.65,False,2.3,5,1.91,1.9,7.4,9.9,4.6,8,9.3,9.5,1,10,9.4,150,sRGB (embedded),TIFF Â· LZW,14.7
imgi_416_showimg_cmu39_desktop_100x100cm_150ppi.tif,100x100,160,3.5,Critical failure,3.5,3.5,Stroke contrast in glare,50,151,33,304,30.41,16.42,8.31,False,13.3,33.7,2.39,3.3,8.5,10,3,2,9.3,9.5,1,10,8.8,150,sRGB (embedded),TIFF Â· LZW,16.9
imgi_418_showimg_cmu31_desktop_100x100cm_150ppi.tif,100x100,160,3.5,Critical failure,3.5,3.5,Stroke contrast in glare,38,151,25,304,22.62,14.29,8.43,False,9.6,61.7,1.91,1.9,7.4,9.9,3,3.4,9.3,9.5,1,10,8.8,150,sRGB (embedded),TIFF Â· LZW,18.8
imgi_419_showimg_cmu33_desktop_100x100cm_150ppi.tif,100x100,160,3.5,Critical failure,3.5,3.5,Stroke contrast in glare,38,151,25,304,25.02,16.11,6.24,False,11.2,21.3,1.91,1.9,7.4,9.9,3,2.9,9.3,9.5,1,10,8.8,150,sRGB (embedded),TIFF Â· LZW,21.1
imgi_422_showimg_pbl28_desktop_100x113cm_150ppi.tif,100x113,180,3.5,Critical failure,3.5,3.5,Stroke contrast in glare,38,151,25,304,8.11,2.28,2.97,False,6.5,5.3,2.39,1.9,7.8,10,5,6.3,9.3,9.5,1,10,8.8,150,sRGB (embedded),TIFF Â· LZW,24.9
imgi_14_top20-220x220-cgo_100x100cm_150ppi.tif,100x100,160,4.2,Critical failure,4.5,4.3,Effective resolution,38,151,25,304,74.41,74.75,65.79,True,8.3,9,,1.9,7.4,10,3,2,6.2,10,10,10,10,150,sRGB (embedded),TIFF Â· LZW,11
imgi_133_showimg_ldr73_search_100x133cm_150ppi.tif,100x133,210,4.3,Critical failure,4.5,4.5,Effective resolution,38,151,25,304,34.54,18.97,10.4,False,52.6,21.3,2.39,1.9,8.5,10,3,2,9.3,9.5,10,10,9.4,150,sRGB (embedded),TIFF Â· LZW,181.1
imgi_134_showimg_ldr40_search_100x129cm_150ppi.tif,100x129,210,4.3,Critical failure,4.5,4.5,Effective resolution,38,151,25,304,50.06,46.43,36.39,False,36.1,25.4,2.39,1.9,8.5,10,3,2,9.3,9.5,10,10,9.4,150,sRGB (embedded),TIFF Â· LZW,18.2
imgi_135_showimg_ldr109_search_150x100cm_150ppi.tif,150x100,240,4.3,Critical failure,4.5,4.5,Effective resolution,38,151,25,304,32.19,33.23,16.72,False,28.5,20.5,2.87,1.9,9.1,10,3,2,9.3,9.5,10,10,8.8,150,sRGB (embedded),TIFF Â· LZW,216.5
